"","x"
"661","1905 Jake Thielman"
"662","1905 Jake Volz"
"663","1905 Jake Weimer"
"664","1905 Jesse Tannehill"
"665","1905 Jim Buchanan"
"666","1905 Jim Delahanty"
"667","1905 Jim McGinley"
"668","1905 Jimmy Dygert"
"669","1905 Jimmy Wiggs"
"670","1905 Joe Harris"
"671","1905 Joe McGinnity"
"672","1905 John Eubank"
"673","1905 John Halla"
"674","1905 Johnny Lush"
"675","1905 Joseph Myers"
"676","1905 Kaiser Wilhelm"
"677","1905 Kid Nichols"
"678","1905 King Brady"
"679","1905 Lefty Leifield"
"680","1905 Louis LeRoy"
"681","1905 Mal Eason"
"682","1905 Mike Lynch"
"683","1905 Mordecai Brown"
"684","1905 Moxie Manuel"
"685","1905 Nick Altrock"
"686","1905 Noodles Hahn"
"687","1905 Norwood Gibson"
"688","1905 Ollie Johns"
"689","1905 Orval Overall"
"690","1905 Oscar Jones"
"691","1905 Otto Hess"
"692","1905 Patsy Flaherty"
"693","1905 Ralph Caldwell"
"694","1905 Red Ames"
"695","1905 Red Donahue"
"696","1905 Rick Adams"
"697","1905 Rip Vowinkel"
"698","1905 Roy Patterson"
"699","1905 Rube Waddell"
"700","1905 Sam Leever"
"701","1905 Sandy McDougal"
"702","1905 Togie Pittinger"
"703","1905 Tom Hughes"
"704","1905 Tom Walker"
"705","1905 Tully Sparks"
"706","1905 Vic Willis"
"707","1905 Walt Justis"
"708","1905 Walter Clarkson"
"709","1905 Weldon Henley"
"710","1905 Wilbur Good"
"711","1905 Willie Sudhoff"
"712","1905 Win Kellum"
"713","1905 Wish Egan"
"714","1906 Addie Joss"
"715","1906 Al Orth"
"716","1906 Ambrose Puttmann"
"717","1906 Andy Coakley"
"718","1906 Art Fromme"
"719","1906 Art Hoelskoetter"
"720","1906 Babe Adams"
"721","1906 Barney Pelty"
"722","1906 Barney Wolfe"
"723","1906 Beany Jacobson"
"724","1906 Bert Maxwell"
"725","1906 Big Jeff Pfeffer"
"726","1906 Bill Bartley"
"727","1906 Bill Bernhard"
"728","1906 Bill Dinneen"
"729","1906 Bill Donovan"
"730","1906 Bill Duggleby"
"731","1906 Bill Essick"
"732","1906 Bill Hogg"
"733","1906 Bob Edmondson"
"734","1906 Bob Ewing"
"735","1906 Bob Rhoads"
"736","1906 Bob Wicker"
"737","1906 Buster Brown"
"738","1906 Carl Druhot"
"739","1906 Carl Lundgren"
"740","1906 Casey Patten"
"741","1906 Cecil Ferguson"
"742","1906 Chappie McFarland"
"743","1906 Charley Hall"
"744","1906 Charlie Case"
"745","1906 Charlie Chech"
"746","1906 Charlie Rhodes"
"747","1906 Charlie Roy"
"748","1906 Charlie Smith"
"749","1906 Chick Fraser"
"750","1906 Chief Bender"
"751","1906 Christy Mathewson"
"752","1906 Clark Griffith"
"753","1906 Clyde Goodwin"
"754","1906 Con Starkel"
"755","1906 Cozy Dolan"
"756","1906 Cy Barger"
"757","1906 Cy Falkenberg"
"758","1906 Cy Young"
"759","1906 Deacon Phillippe"
"760","1906 Del Mason"
"761","1906 Doc Newton"
"762","1906 Doc Scanlan"
"763","1906 Doc White"
"764","1906 Dummy Taylor"
"765","1906 Earl Moore"
"766","1906 Ed Barry"
"767","1906 Ed Hughes"
"768","1906 Ed Karger"
"769","1906 Ed Killian"
"770","1906 Ed Reulbach"
"771","1906 Ed Siever"
"772","1906 Ed Smith"
"773","1906 Ed Walsh"
"774","1906 Ed Willett"
"775","1906 Eddie Plank"
"776","1906 Eddie Tiemeyer"
"777","1906 Elmer Stricklett"
"778","1906 Elwood Richie"
"779","1906 Frank Isbell"
"780","1906 Frank Kitson"
"781","1906 Frank Oberlin"
"782","1906 Frank Owen"
"783","1906 Frank Smith"
"784","1906 Fred Beebe"
"785","1906 Fred Glade"
"786","1906 George Mullin"
"787","1906 George Winter"
"788","1906 Glenn Liebhardt"
"789","1906 Gus Dorner"
"790","1906 Gus Thompson"
"791","1906 Hack Schumann"
"792","1906 Happy Townsend"
"793","1906 Harry Eells"
"794","1906 Harry Hardy"
"795","1906 Harry Howell"
"796","1906 Harry Kane"
"797","1906 Harry McIntire"
"798","1906 Henry Mathewson"
"799","1906 Homer Hillebrand"
"800","1906 Hooks Wiltse"
"801","1906 Howie Camnitz"
"802","1906 Hub Knolls"
"803","1906 Irish McIlveen"
"804","1906 Irv Higginbotham"
"805","1906 Irv Young"
"806","1906 Jack Cameron"
"807","1906 Jack Chesbro"
"808","1906 Jack Coombs"
"809","1906 Jack Doscher"
"810","1906 Jack Harper"
"811","1906 Jack Pfiester"
"812","1906 Jack Powell"
"813","1906 Jack Rowan"
"814","1906 Jack Taylor"
"815","1906 Jake Thielman"
"816","1906 Jake Weimer"
"817","1906 Jesse Tannehill"
"818","1906 Jesse Whiting"
"819","1906 Jim Holmes"
"820","1906 Jim Moroney"
"821","1906 Jim Pastorius"
"822","1906 Jimmy Dygert"
"823","1906 Jimmy Wiggs"
"824","1906 Joe Harris"
"825","1906 Joe McGinnity"
"826","1906 Joe Stanley"
"827","1906 John Eubank"
"828","1906 John McCloskey"
"829","1906 Johnny Lush"
"830","1906 Kid Nichols"
"831","1906 King Brady"
"832","1906 Lefty Leifield"
"833","1906 Len Swormstedt"
"834","1906 Leo Hafford"
"835","1906 Lou Fiene"
"836","1906 Lou Manske"
"837","1906 Louis LeRoy"
"838","1906 Mal Eason"
"839","1906 Mike Cunningham"
"840","1906 Mike Lynch"
"841","1906 Mordecai Brown"
"842","1906 Nick Altrock"
"843","1906 Noodles Hahn"
"844","1906 Norwood Gibson"
"845","1906 Orval Overall"
"846","1906 Otto Hess"
"847","1906 Ralph Glaze"
"848","1906 Red Ames"
"849","1906 Red Donahue"
"850","1906 Roy Patterson"
"851","1906 Roy Witherup"
"852","1906 Rube Kroh"
"853","1906 Rube Waddell"
"854","1906 Sam Leever"
"855","1906 Slow Joe Doyle"
"856","1906 Stoney McGlynn"
"857","1906 Togie Pittinger"
"858","1906 Tom Hughes"
"859","1906 Tully Sparks"
"860","1906 Vic Willis"
"861","1906 Vive Lindaman"
"862","1906 Walter Clarkson"
"863","1906 Walter Moser"
"864","1906 William McCarthy"
"865","1906 Willie Sudhoff"
"866","1906 Willy Wilson"
"867","1906 Wish Egan"
"868","1907 Addie Joss"
"869","1907 Al Orth"
"870","1907 Andy Coakley"
"871","1907 Art Fromme"
"872","1907 Art Hoelskoetter"
"873","1907 Babe Adams"
"874","1907 Barney Pelty"
"875","1907 Beany Jacobson"
"876","1907 Big Jeff Pfeffer"
"877","1907 Bill Bailey"
"878","1907 Bill Bartley"
"879","1907 Bill Bernhard"
"880","1907 Bill Dinneen"
"881","1907 Bill Donovan"
"882","1907 Bill Duggleby"
"883","1907 Bill Essick"
"884","1907 Bill Hogg"
"885","1907 Bill McGill"
"886","1907 Bill Otey"
"887","1907 Billy Campbell"
"888","1907 Bob Ewing"
"889","1907 Bob Rhoads"
"890","1907 Bob Spade"
"891","1907 Bobby Keefe"
"892","1907 Bris Lord"
"893","1907 Bugs Raymond"
"894","1907 Bull Durham"
"895","1907 Buster Brown"
"896","1907 Carl Druhot"
"897","1907 Carl Lundgren"
"898","1907 Casey Patten"
"899","1907 Cecil Ferguson"
"900","1907 Charley Hall"
"901","1907 Charlie Fritz"
"902","1907 Charlie Hickman"
"903","1907 Charlie Shields"
"904","1907 Charlie Smith"
"905","1907 Chick Fraser"
"906","1907 Chief Bender"
"907","1907 Christy Mathewson"
"908","1907 Clark Griffith"
"909","1907 Connie Walsh"
"910","1907 Cotton Minahan"
"911","1907 Cy Barger"
"912","1907 Cy Falkenberg"
"913","1907 Cy Morgan"
"914","1907 Cy Young"
